Material,Unidad de medida,Cantidad,1,2,3,4,Porcentaje,tipo
Acuario equipado con un volumen mínimo de 20 l. (agua dulce y marina),piezas,2,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,MATERIAL
Agujas de disección con punta curva,piezas,14,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,15,MATERIAL
Agujas de disección con punta recta,piezas,14,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,15,MATERIAL
Alfileres entomológicos,piezas,100,100 x grupo,100 x grupo,100 x grupo,100 x grupo,15,MATERIAL
Algodón (paquete de 500 g.),paquetes,2,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,MATERIAL
Anillos de fierro para soporte universal,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Asa para siembra bacteriológica ,piezas,7,,,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Cajas de Petri de plástico desechables de 10 cm. de díametro,piezas,35,5 x equipo de trabajo,5 x equipo de trabajo,,,15,MATERIAL
Charolas de disección de acero inoxidable,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Espátulas de acero inoxidable,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Gradillas para tubo de ensayo,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Glucómetro con 50 tiras reactivas,piezas,2,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,MATERIAL
Horadador ,piezas,1,1 x grupo,1 x grupo,,,15,MATERIAL
Lancetas estériles,piezas,100,100 x grupo,100 x grupo,100 x grupo,100 x grupo,15,MATERIAL
Mangueras de hule (de 5 mm. de diámetro),metros,10,10 x grupo,10 x grupo,10 x grupo,10 x grupo,15,MATERIAL
Navajas de rasurar,piezas,14,2 x equipo de trabajo,2 x equipo de trabajo,,,15,MATERIAL
Papel absorbente (servitoallas),rollos,4,4 x grupo,4 x grupo,4 x grupo,4 x grupo,15,MATERIAL
Papel aluminio,cajas,2,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,MATERIAL
"Papel filtro de diferente diámetro, grado y flujo",cajas,2,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,MATERIAL
Papel Indicador de pH de 0 a 14°C (tiras) o potenciómetro escolar,cajas o aparatos,2,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,MATERIAL
Papel seda,block,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,15,MATERIAL
Pinzas para tubo de ensayo,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Pisetas de polietileno de 250 mL,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Propipetas de 2 vías,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Soporte Universal,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Tapones de hule diferentes tamaños,piezas,60,60 x grupo,60 x grupo,60 x grupo,60 x grupo,15,MATERIAL
Telas de alambre con cerámica,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Termómetro clínico ,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Termómetro  científico de vidrio de -10 a 110oC,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Termómetro ambiental con higrómetro °C - °F,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,MATERIAL
Terrarios (Xerofitas e hidrófitas ),piezas,2,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,MATERIAL
Balanza granataria con capacidad de 2000 g. y precisión de 0.1 g.,piezas,4,4 x grupo,4 x grupo,4 x grupo,4 x grupo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
Balanza digital de 200 g con precisión de 0.01 g.,piezas,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
Centrífuga para 6 tubos,piezas,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
Cronómetros análogos o digitales,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
"Estuche de disección (bisturí, agujas, tijeras, pinzas, etc.)",piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
Mecheros Bunsen,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
Mecheros Fisher,piezas,2,,,2 x grupo,2 x grupo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
"Microscopios compuesto con objetivos 10x, 40x, 60X y 100x",piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
Microscopios estereoscópicos,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
Navajas de bisturí,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
Olla express de 10 ó 12 l. o Autoclave,piezas,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
Parrilla con placa de calentamiento y agitador magnético,piezas,2,2 x grupo,2 x grupo,2 x grupo,2 x grupo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
Termos de 1 L. con tapa,piezas,7,,,1 x equipo de trabajo,1 x equipo de trabajo,20,"EQUIPO, INSTRUMENTOS Y APARATOS"
Agitadores de vidrio,piezas,14,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,10,CRISTALERÍA
Cajas de Petri de 10 cm de diámetro,piezas,14,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,10,CRISTALERÍA
Cápsulas de porcelana de 10 cm.,piezas,14,2 x equipo de trabajo,2 x equipo de trabajo,,,10,CRISTALERÍA
Cubreobjetos,cajas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Cristalizador de 4 tamaños diferentes,juegos,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Embudos de tallo corto de 10 cm. de diámetro,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Embudos de tallo largo de 5 cm. de diámetro,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Frascos goteros,piezas,28,4 x equipo de trabajo,4 x equipo de trabajo,4 x equipo de trabajo,4 x equipo de trabajo,10,CRISTALERÍA
Matraces Erlenmeyer de 50 mL.,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Matraces Erlenmeyer de 125 mL.,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Matraces Erlenmeyer de 250 mL.,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Morteros de porcelana con pistilo de 10 cm de diámetro y  capacidad de 300 ml.,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Pipetas graduadas de 1mL. ,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Pipetas graduadas de 5 mL.,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Pipetas graduadas de 10 mL.,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Pipetas Pasteur con peras,caja,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,10,CRISTALERÍA
Portaobjetos,cajas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Probetas graduadas de 10 mL. ,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Probetas graduadas de 50 mL. ,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Probetas graduadas de 100 mL.,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Tubos de ensayo de 100 X 10,piezas,70,10 x equipo de trabajo,10 x equipo de trabajo,10 x equipo de trabajo,10 x equipo de trabajo,10,CRISTALERÍA
Tubos de fermentación con base ,piezas,14,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,10,CRISTALERÍA
Varilla de vidrio,metros,0,10 x grupo,10 x grupo,10 x grupo,10 x grupo,10,CRISTALERÍA
Vasos de precipitado de 50 mL.,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Vasos de precipitado de 100 mL.,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Vasos de precipitado de 250 mL.,piezas,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Vidrios de reloj de 5 cm. ,piezas,14,2 x equipo de trabajo,2 x equipo de trabajo,,,10,CRISTALERÍA
Vidrios de reloj de 10 cm.,piezas,14,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,10,CRISTALERÍA
"Principales tejidos animales (tejido óseo, muscular (liso, esquelético, cardiaco), nervioso, epitelial, sanguíneo, adiposo)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Principales tejidos vegetales (parénquima, colénquima, hoja con estomas, floema, xilema, meristemático apical, lateral y radicular, etc.)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Protozoarios (Plasmodium sp., amibas, Trypanosoma sp., Giardia sp., Chlamydomonas sp., Paramecium sp.)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Algas microscopias (algas rojas, pardas, doradas y verdes) Vorticella sp., Euglena sp., diatomeas, dinoflagelados, fitoplancton,  así como cortes de algas macroscópicas.",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Distintos tipos de bacterias (cocos, bacilos y espirilos) Estreptococo, Estafilococo, Shigella sp, clamidias, Escherichia coli, Salmonella sp..",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Hongos macroscópicos y microscópicos (mohos, Aspergillus sp., Rhizopus sp., Penicillium sp., esporangios, hifas, conidios, levaduras, ascomicetos, basidiomicetos hongos parásitos de animales y vegetales, Pie de atleta, tiña, Candida albicans, huitlacoche, mohos mucilaginosos y acuáticos, royas, etc.)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Esponjas (espículas, esponja de mar)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Cnidarios (pólipos, corales, medusas)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
Platelmintos (tenias de animales y de humanos),diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Nemátodos (áscaris de animales y humanos, gusanos de vegetales)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Anélidos (lombriz de tierra, marinos)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Artrópodos (crustáceos, arácnidos, escorpiones, insectos y otros)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Equinodermos (galletas, erizos, estrellas y pepinos de mar)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Cortes de testículos de diferentes animales (ratas, ratones, conejo, aves, etc.)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
Cortes de ovario de diferentes animales y vegetales,diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Cromosomas vegetales y animales (haba, mosca de la fruta, insectos, humanos normales y con diferentes mutaciones cromosómicas)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
Cromosomas vegetales y animales normales y con mutaciones cromosómicas,diferentes ejemplares de los señalados,7,,,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Espermatozoides (caracol, erizo, ganado, roedores, insectos)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Algas microscópicas rojas, pardas, verdes, amarillas, diatomeas, dinoflagelados",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Hongos: mohos Aspergillus sp., ascomicetos, basidiomicetos (setas, clavitos, champiñones, orejas de palo, royas) deuteromicetos, Penicillum sp..",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
Musgos,diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
Hepáticas,diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
Helechos de diferentes tipos,diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
Angiospermas diversas plantas con flores mono y dicotiledóneas,diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Gimnospermas: pinos, abetos, cedro, ciprés.",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
Fósiles de diversos animales y vegetales,diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Esponjas: esponja de baño, canasta de flores de Venus, esponja de tubo",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Cnidarios: pólipos, corales, anémonas, pluma de mar y abanico de mar, medusas, hidra y fragata portuguesa",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Gusanos planos (tenias de animales y de humanos, fasciola hepática, planarias)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Nemátodos (áscaris de animales y humanos, gusanos de vegetales, Thichinella sp.)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Anélidos gusanos de arena, abanico y plumero, lombriz de tierra, sanguijuelas y Tubifex",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Artrópodos: trilobites, garrapatas, ácaros, arañas, escorpiones, cangrejo, cochinilla, pulga de agua, percebes, cienpiés, milpiés y diferentes insectos (termita, hormiga, escarabajo, libélula, mosca, mosquito, polilla, abeja, avispa, tijerilla, saltamontes, mariposa, pulga, piojo, chinche)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Moluscos: almejas, ostras, mejillones,  calamar, pulpo, nautilo babosa, caracoles marinos, dulceacuícolas y terrestres",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Equinodermos: galletas, erizos, estrellas y pepinos de mar",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
Peces óseos y cartilaginosos,diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Anfibios: ranas, sapos, salamandras, ajolotes",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Reptiles: tortugas, lagartijas, serpientes, lagartos y cocodrilos",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Aves: paloma, pájaros, aves de corral, codorniz, perico",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Mamíferos: ratón, rata, conejo, perro, gato, cuyo, hámster, ardilla, caballo, cerdo, oveja, vaca, comadreja, mapache, musaraña, topo, murciélagos, delfín, ornitorrinco, canguro, koala, lémur, mono, chimpancé, oso hormiguero y armadillo",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PRESERVADO
"Organismos en diferentes estadios de desarrollo (mórula, blástula, gástrula, fetos de diferentes semanas de anfibios, aves, mamíferos, etc.)",diferentes ejemplares de los señalados,7,1 x equipo de trabajo,1 x equipo de trabajo,,,10,MATERIAL BIOLÓGICO PRESERVADO
Guantes de látex desechables,caja,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,20,EQUIPO DE PROTECCIÓN PERSONAL
Guantes de carnaza,pares,7,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,20,EQUIPO DE PROTECCIÓN PERSONAL
Guantes de nitrilo desechables,caja,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,20,EQUIPO DE PROTECCIÓN PERSONAL
Lentes de seguridad,piezas,25,25 x grupo,25 x grupo,25 x grupo,25 x grupo,20,EQUIPO DE PROTECCIÓN PERSONAL
Cubrebocas,caja,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,20,EQUIPO DE PROTECCIÓN PERSONAL
Mascarillas para polvos,piezas,25,25 x grupo,25 x grupo,25 x grupo,25 x grupo,20,EQUIPO DE PROTECCIÓN PERSONAL
Aceite de inmersión,mililitros,100,100 x grupo,100 x grupo,100 x grupo,100 x grupo,15,SUSTANCIAS
Acetocarmín,mililitros,100,100 x grupo,100 x grupo,100 x grupo,100 x grupo,15,SUSTANCIAS
Acetona,litros,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,15,SUSTANCIAS
Acetoorceína,mililitros,100,100 x grupo,100 x grupo,100 x grupo,100 x grupo,15,SUSTANCIAS
Ácido acético,mililitros,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Ácido clorhídrico,mililitros,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Ácido nítrico,mililitros,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Ácido sulfúrico,mililitros,250,250 x grupo,250 x grupo,,,15,SUSTANCIAS
Agar-agar,gramos,500,500 x grupo,500 x grupo,,,15,SUSTANCIAS
Agua destilada,litros,20,20 x grupo,20 x grupo,20 x grupo,20 x grupo,15,SUSTANCIAS
Alcohol etílico,litros,2,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,SUSTANCIAS
Alcohol metílico,litros,2,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,SUSTANCIAS
Almidón de maíz,gramos,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Azul de bromotinol,gramos,50,50 x grupo,50 x grupo,50 x grupo,50 x grupo,15,SUSTANCIAS
Azul de metileno,gramos,50,50 x grupo,50 x grupo,50 x grupo,50 x grupo,15,SUSTANCIAS
Bicarbonato de sodio,gramos,100,100 x grupo,100 x grupo,100 x grupo,100 x grupo,15,SUSTANCIAS
Cloroformo,mililitros,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Cloruro de sodio,gramos,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Colorante de Giemsa,mililitros,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Éter de Petróleo,mililitros,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Éter lauril sulfato de sodio,mililitros,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Fenolftaleína,mililitros,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Glucosa,gramos,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Goma arábiga,gramos,250,250 x grupo,250 x grupo,,,15,SUSTANCIAS
Grenetina,gramos,250,250 x grupo,250 x grupo,,,15,SUSTANCIAS
Hematoxilina,gramos,50,50 x grupo,50 x grupo,,,15,SUSTANCIAS
Levadura de cerveza,gramos,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Lugol,litros,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,15,SUSTANCIAS
Permanganato de potasio,gramos,250,,,250 x grupo,250 x grupo,15,SUSTANCIAS
Peroxido de hidrógeno,litros,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,15,SUSTANCIAS
Reactivo de Benedict,mililitros,500,500 x grupo,500 x grupo,500 x grupo,500 x grupo,15,SUSTANCIAS
Reactivo de Biuret,mililitros,500,500 x grupo,500 x grupo,500 x grupo,500 x grupo,15,SUSTANCIAS
Reactivo Fehling A,mililitros,500,500 x grupo,500 x grupo,500 x grupo,500 x grupo,15,SUSTANCIAS
Reactivo Fehling B,mililitros,500,500 x grupo,500 x grupo,500 x grupo,500 x grupo,15,SUSTANCIAS
Resina sintética o Bálsamo de Canadá,mililitros,500,500 x grupo,500 x grupo,500 x grupo,500 x grupo,15,SUSTANCIAS
Rojo carmín,gramos,10,10 x grupo,10 x grupo,,,15,SUSTANCIAS
Sacarosa,gramos,500,500 x grupo,500 x grupo,500 x grupo,500 x grupo,15,SUSTANCIAS
Sudán III,mililitros,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Sudán IV,mililitros,250,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Sueros sanguíneos y determinación factor Rh,juego/curso,1,1 x grupo,1 x grupo,1 x grupo,1 x grupo,15,SUSTANCIAS
Verde de metilo,gramos,10,,,10 x grupo,10 x grupo,15,SUSTANCIAS
