"MATERIAL","Unidad de medida",13,14,15,16,"porcentaje","tipo"
"Algodón","gramos","500 x grupo","500 x grupo","500 x grupo","500 x grupo",20,"material"
"Anillo de fierro para soporte","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Barra magnética de agitación de 1.2 x 5cm  y de 0.6 x 1.5 cm aprox.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Cables delgados (con caimanes)","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"material"
"Cartel de la tabla periódica tamaño 140 x 90 cm.","pzas.","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"material"
"Cuba hidroneumática","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Cucharilla de combustión","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Encendedor o caja de cerillos","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Escobillones para pipeta","pzas.","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"material"
"Escobillones para vaso de precipitado","pzas.","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"material"
"Escobillones para matraz","pzas.","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"material"
"Escobillones para tubo de ensayo","pzas.","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"material"
"Espátula de acero inoxidable","pzas.","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"material"
"Foquitos de 1.5V","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Franela","metros","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"material"
"Gradilla para tubos de ensayo","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Imanes de herradura o barra","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"material"
"Juego de Horadadores","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Manguera de hule de 5 mm. de diámetro","metros","10 x grupo","10 x grupo","10 x grupo","10 x grupo",20,"material"
"Mechero de Bunsen con manguera","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Mechero de Fisher","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"material"
"Papel filtro","pliegos","10 x grupo","10 x grupo","10 x grupo","10 x grupo",20,"material"
"Papel Parafilm","rollos","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"material"
"Papel pH o indicador Universal","cajas","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"material"
"Papel tornasol","cajas","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"material"
"Pila de 9 voltios","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Pinzas de doble  nuez","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"material"
"Pinzas para  refrigerante ( tres dedos)","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"material"
"Pinzas para matraz","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Pinzas para tubo de ensayo","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Piseta de polietileno de 250 mL.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Plumones indelebles","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"material"
"Propipeta de 2 vías","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Soporte Universal","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"material"
"Soquets para focos de 1.5V","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Tapones de hule de diferentes tamaños","pzas.","28 x grupo","28 x grupo","28 x grupo","28 x grupo",20,"material"
"Tapones de hule para tubo de ensayo","pzas.","10 x equipo de trabajo","10 x equipo de trabajo","10 x equipo de trabajo","10 x equipo de trabajo",20,"material"
"Tela de  alambre con cerámica","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Agitador de vidrio","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Bureta  Mhor con llave de teflón de 50 mL.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Cápsula de porcelana (10 cm. de diámetro)","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"cristalería"
"Embudo de filtración de tallo corto","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Embudo de filtración de tallo largo","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Embudo de separación de 250 mL.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Frasco gotero de 25 mL.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Matraz aforado de 100 mL.","pzas.","2 x equipo de trabajo","2 x equipo de trabajo",14,14,20,"cristalería"
"Matraz de destilación 250 mL.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Matraz Erlenmeyer de 250 mL.","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"cristalería"
"Matraz Erlenmeyer de 500 mL.","pzas.","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"cristalería"
"Matraz redondo de fondo plano de 250 mL.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Mortero de cerámica con pistilo","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Pipeta graduada 10 mL.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Pipeta graduada 1 mL.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Pipeta graduada 5 mL.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Probetas de 100 mL.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Probetas de 50 mL.","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Probetas de 500 mL.","pzas.","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"cristalería"
"Refrigerante de tubo simple (condensador)","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"cristalería"
"Tubo de ensayo de 100 X 10","pzas.","10 x equipo de trabajo","10 x equipo de trabajo","10 x equipo de trabajo","10 x equipo de trabajo",20,"cristalería"
"Tubo de vidrio de 6 mm. ","metros","10 x grupo","10 x grupo","10 x grupo","10 x grupo",20,"cristalería"
"Vaso de precipitado de 100 mL.","pzas.","3 x equipo de trabajo","3 x equipo de trabajo","3 x equipo de trabajo","3 x equipo de trabajo",20,"cristalería"
"Vaso de precipitado de 250 mL.","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"cristalería"
"Vaso de precipitado de 50 mL.","pzas.","3 x equipo de trabajo","3 x equipo de trabajo","3 x equipo de trabajo","3 x equipo de trabajo",20,"cristalería"
"Vidrios de reloj de 10 cm. de diámetro","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"cristalería"
"Vidrios de reloj de 5 cm. de diámetro","pzas.","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"cristalería"
"Balanzas granatarias con capacidad de 2000 g. y 0.1g","pzas.","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"EQUIPO, INSTRUMENTOS Y APARATOS"
"Balanzas digitales con precisión de 0.01 g.","pzas.","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"EQUIPO, INSTRUMENTOS Y APARATOS"
"Parrilla de calentamiento con agitador magnético","pzas.","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"EQUIPO, INSTRUMENTOS Y APARATOS"
"Microscopio Estereoscópico","pzas.","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"EQUIPO, INSTRUMENTOS Y APARATOS"
"Termómetro científico (–10° a 150°C)","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"EQUIPO, INSTRUMENTOS Y APARATOS"
"Lentes de Seguridad","pzas.","25 x grupo","25 x grupo","25 x grupo","25 x grupo",20,"EQUIPO DE PROTECCIÓN PERSONAL"
"Guantes de Carnaza","pares","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"EQUIPO DE PROTECCIÓN PERSONAL"
"Guantes de Nitrilo desechables","cajas","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"EQUIPO DE PROTECCIÓN PERSONAL"
"Kit para absorción de derrames químicos (se arma de acuerdo a las cantidades y tipo de sustancias con las que se trabaja)","pzas.","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"EQUIPO DE PROTECCIÓN PERSONAL"
"Mascarillas sencillas con filtros o con carbón activado ","pzas.","25 x grupo","25 x grupo","25 x grupo","25 x grupo",20,"EQUIPO DE PROTECCIÓN PERSONAL"
"Aceite mineral","litros","1 x grupo","1 x grupo",,,20,"SUSTANCIAS"
"Aceite de ricino o coco","gramos",,,"500 x grupo","500 x grupo",20,"SUSTANCIAS"
"Aceite vegetal","mililitros","500 x grupo","500 x grupo",,,20,"SUSTANCIAS"
"Acetaldehído","gramos",,,"500 x grupo","500 x grupo",20,"SUSTANCIAS"
"Acetato de calcio","gramos",,,"100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Acetona","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Ácido acético","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Ácido ascórbico","gramos","200 x grupo","200 x grupo",,,20,"SUSTANCIAS"
"Ácido bórico","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Ácido cítrico","gramos","250 x grupo","250 x grupo","100 x grupo ","100 x grupo ",20,"SUSTANCIAS"
"Ácido clorhídrico","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Ácido fórmico","gramos",,,"500 x grupo","500 x grupo",20,"SUSTANCIAS"
"Ácido nítrico","litros","1 x grupo","1 x grupo",,,20,"SUSTANCIAS"
"Ácido oxálico","gramos",,,"100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Ácido salicílico","gramos","100 x grupo","100 x grupo",,,20,"SUSTANCIAS"
"Ácido sulfúrico","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Agua destilada","litros","20 x grupo","20 x grupo","20 x grupo","20 x grupo",20,"SUSTANCIAS"
"Almidón","gramos","250 x grupo","250 x grupo","250 x grupo","250 x grupo",20,"SUSTANCIAS"
"Alumbre","gramos","500 x grupo","500 x grupo","500 x grupo","500 x grupo",20,"SUSTANCIAS"
"Aluminio en granalla","gramos","200 x grupo","200 x grupo","200 x grupo","200 x grupo",20,"SUSTANCIAS"
"Aluminio en varillas de 10 cm.","pzas.","10 x grupo","10 x grupo","10 x grupo","10 x grupo",20,"SUSTANCIAS"
"Anaranjado de metilo","gramos",,,"10 x grupo","10 x grupo",20,"SUSTANCIAS"
"Azúcar","gramos","500 x grupo","500 x grupo",,,20,"SUSTANCIAS"
"Azufre","gramos","250 x grupo","250 x grupo","250 x grupo","250 x grupo",20,"SUSTANCIAS"
"Benzoato de sodio","gramos","250 x grupo","250 x grupo",,,20,"SUSTANCIAS"
"Bicarbonato de sodio","gramos","250 x grupo","250 x grupo","250 x grupo","250 x grupo",20,"SUSTANCIAS"
"Bióxido de manganeso","gramos","250 x grupo","250 x grupo","250 x grupo","250 x grupo",20,"SUSTANCIAS"
"Bromo (agua de Bromo)","mililitros",,,"100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Cal sodada (CaONaOH)","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Carbón activado","gramos","500 x grupo","500 x grupo",,,20,"SUSTANCIAS"
"Carbón vegetal en polvo","gramos","500 x grupo","500 x grupo",,,20,"SUSTANCIAS"
"Carbonato de calcio","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Carbonato de sodio","gramos",,,"100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Carburo de calcio","gramos",,,"100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Cinta de magnesio","gramos","50 x grupo","50 x grupo",,,20,"SUSTANCIAS"
"Cloruro de amonio","gramos","100 x grupo","100 x grupo",,,20,"SUSTANCIAS"
"Cloruro de bario","gramos","100 x grupo","100 x grupo",,,20,"SUSTANCIAS"
"Cloruro de calcio","gramos","250 x grupo","250 x grupo",,,20,"SUSTANCIAS"
"Cloruro férrico","gramos","100 x grupo","100 x grupo",,,20,"SUSTANCIAS"
"Cloruro sodio","gramos","500 x grupo","500 x grupo","500 x grupo","500 x grupo",20,"SUSTANCIAS"
"Cobre en laminillas o varillas para electrodo","gramos",,,"200 x grupo","200 x grupo",20,"SUSTANCIAS"
"Cobre en varillas de 10 cm.","pzas.","10 x grupo","10 x grupo",,,20,"SUSTANCIAS"
"Cobre en viruta o granalla","gramos","200 x grupo","200 x grupo",,,20,"SUSTANCIAS"
"Colorantes vegetales","paquete","1 x grupo","1 x grupo",,,20,"SUSTANCIAS"
"Dietilamina","mililitros",,,"100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Esencias aromáticas (con 3 diferentes)","paquete pequeño","1 x grupo","1 x grupo",,,20,"SUSTANCIAS"
"Etanol ","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Etilenglicol","litros",,,"1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Fenol","litros",,,"1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Fenoftaleína","gramos","10 x grupo","10 x grupo","10 x grupo","10 x grupo",20,"SUSTANCIAS"
"Formaldehído","litros",,,"1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Fosfato de amonio","gramos","500 x grupo","500 x grupo",,,20,"SUSTANCIAS"
"Glucosa","gramos","500 x grupo","500 x grupo","500 x grupo","500 x grupo",20,"SUSTANCIAS"
"Hexano","litros",,,"1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Hidróxido de amonio","litros","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"SUSTANCIAS"
"Hidróxido de calcio","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Hidróxido de potasio","gramos","250 x grupo","250 x grupo","250 x grupo","250 x grupo",20,"SUSTANCIAS"
"Hidróxido de sodio","gramos","250 x grupo","250 x grupo","250 x grupo","250 x grupo",20,"SUSTANCIAS"
"Isopropanol","mililitros",,,"500 x grupo","500 x grupo",20,"SUSTANCIAS"
"Lanolina","gramos",,,"100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Limadura de hierro","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Levadura","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Nitrato de amonio","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Nitrato de cobre","gramos","100 x grupo","100 x grupo","100 x grupo","100 x grupo",20,"SUSTANCIAS"
"Nitrato de plata","gramos","50 x grupo","50 x grupo","50 x grupo","50 x grupo",20,"SUSTANCIAS"
"Nitrato de zinc","gramos","50 x grupo","50 x grupo","50 x grupo","50 x grupo",20,"SUSTANCIAS"
"Óxido de cobre (polvo)","gramos","100 x grupo","100 x grupo",,,20,"SUSTANCIAS"
"Permanganato de potasio","gramos",,,"50 x grupo","50 x grupo",20,"SUSTANCIAS"
"Peróxido de hidrógeno (industrial)","litros","1 x grupo","1 x grupo",,,20,"SUSTANCIAS"
"Reactivo de Biuret","mililitros","250 x grupo","250 x grupo",,,20,"SUSTANCIAS"
"Reactivo de Fehling A","mililitros","250 x grupo","250 x grupo",,,20,"SUSTANCIAS"
"Reactivo de Fehling B","mililitros","250 x grupo","250 x grupo",,,20,"SUSTANCIAS"
"Sal de grano","gramos","500 x grupo","500 x grupo","500 x grupo","500 x grupo",20,"SUSTANCIAS"
"Sal de mesa","gramos","500 x grupo","500 x grupo","500 x grupo","500 x grupo",20,"SUSTANCIAS"
"Sorbato de potasio","gramos","250 x grupo","250 x grupo",,,20,"SUSTANCIAS"
"Sulfato de amonio","gramos","100 x grupo","100 x grupo",,,20,"SUSTANCIAS"
"Sulfato de calcio","gramos","100 x grupo","100 x grupo",,,20,"SUSTANCIAS"
"Sulfato de cobre II pentahidratado","gramos","100 x grupo","100 x grupo",,,20,"SUSTANCIAS"
"Sulfato de sodio","gramos","100 x grupo","100 x grupo",,,20,"SUSTANCIAS"
"Trietanolamina","mililitros",,,"500 x grupo","500 x grupo",20,"SUSTANCIAS"
"Yodo","gramos","50 x grupo","50 x grupo",,,20,"SUSTANCIAS"
"Yoduro de potasio","gramos","100 x grupo","100 x grupo",,,20,"SUSTANCIAS"
"Zinc en granalla o viruta","gramos","200 x grupo","200 x grupo",,,20,"SUSTANCIAS"
"Zinc en láminas o varillas para electrodo","gramos",,,"200 x grupo","200 x grupo",20,"SUSTANCIAS"
